Database Migration Validation
=========================================================================================================================
No.  PGSQL Number Of Table         MSSQL Number Of Table         
1    203                           203                           
=========================================================================================================================
Table Count Comparable Result: true
Table Name Comparable Result: true
Overall: true

Column Count and Migration Validation
=========================================================================================================================
No.  TABLE_NAME                                        MSSQL     PGSQL     Count Comparable    Column Name Comparable        
=========================================================================================================================
1    ACCOUNT                                           11        11        true                true                          
2    ACCOUNT_AUDIT                                     12        12        true                true                          
3    ACCOUNT_TEMP                                      12        12        true                true                          
4    APPLICATION_CALENDAR                              8         8         true                true                          
5    AUDIT_TRAIL                                       10        10        true                true                          
6    AUDIT_TRAIL_ARCHIVE                               10        10        true                true                          
7    BATCH_AUDIT_TRAIL                                 6         6         true                true                          
8    BATCH_AUDIT_TRAIL_ARCHIVE                         6         6         true                true                          
9    BATCH_PROCESS                                     7         7         true                true                          
10   BATCH_PROCESS_ARCHIVE                             7         7         true                true                          
11   BHI_MESSAGE_TRAIL                                 5         5         true                true                          
12   BIC_CODE                                          18        18        true                true                          
13   BIC_CODE_AUDIT                                    19        19        true                true                          
14   BIC_CODE_TEMP                                     19        19        true                true                          
15   BRANCH_CODE                                       8         8         true                true                          
16   BRANCH_CODE_AUDIT                                 9         9         true                true                          
17   BRANCH_CODE_TEMP                                  9         9         true                true                          
18   BROWSE_USER_PREFERENCE                            8         8         true                true                          
19   BUTTON_MASTER                                     8         8         true                true                          
20   CDM_PROFILE                                       7         7         true                true                          
21   CDM_PROFILE_AUDIT                                 8         8         true                true                          
22   CDM_PROFILE_TEMP                                  8         8         true                true                          
23   CONNECTION_CONFIGURATION                          25        25        true                true                          
24   COUNTRY_CODE                                      10        10        true                true                          
25   COUNTRY_CODE_AUDIT                                11        11        true                true                          
26   COUNTRY_CODE_TEMP                                 11        11        true                true                          
27   CURRENCY_CODE                                     9         9         true                true                          
28   CURRENCY_CODE_AUDIT                               10        10        true                true                          
29   CURRENCY_CODE_TEMP                                10        10        true                true                          
30   D4AKEYMST                                         24        24        true                true                          
31   EMAIL_ALERT_CONFIGURATION                         6         6         true                true                          
32   EMAIL_ALERT_CONFIGURATION_AUDIT                   7         7         true                true                          
33   EMAIL_ALERT_CONFIGURATION_TEMP                    7         7         true                true                          
34   EMAIL_ALERT_TRANSACTION                           10        10        true                true                          
35   EMAIL_ALERT_TRANSACTION_AUDIT                     11        11        true                true                          
36   EMAIL_ALERT_TRANSACTION_TEMP                      11        11        true                true                          
37   EMAIL_ALERT_TYPE                                  11        11        true                true                          
38   EMAIL_ALERT_TYPE_AUDIT                            12        12        true                true                          
39   EMAIL_ALERT_TYPE_TEMP                             12        12        true                true                          
40   EMAIL_NOTIFICATION                                11        11        true                true                          
41   EMAIL_NOTIFICATION_ARCHIVE                        11        11        true                true                          
42   EMAIL_SERVER                                      10        10        true                true                          
43   EMAIL_SERVER_AUDIT                                11        11        true                true                          
44   EMAIL_SERVER_TEMP                                 11        11        true                true                          
45   ERROR_LOG                                         7         7         true                true                          
46   ERROR_MESSAGE                                     8         8         true                true                          
47   ERROR_MESSAGE_AUDIT                               9         9         true                true                          
48   ERROR_MESSAGE_TEMP                                9         9         true                true                          
49   EXTERNAL_LINK                                     8         8         true                true                          
50   EXTERNAL_LINK_AUDIT                               9         9         true                true                          
51   EXTERNAL_LINK_TEMP                                9         9         true                true                          
